gene_symbol	gene_symbol_long	_identifier
B3-13	B3 Transcription Factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.03G035200
B3-130	B3 Transcription Factor gene 130	glyma.Wm82.gnm2.ann1.Glyma.19G181900
B3-131	B3 Transcription Factor gene 131	glyma.Wm82.gnm2.ann1.Glyma.19G196600
B3-133	B3 Transcription Factor gene 133	glyma.Wm82.gnm2.ann1.Glyma.19G261300
B3-134	B3 Transcription Factor gene 134	glyma.Wm82.gnm2.ann1.Glyma.20G008700
B3-135, LEC2b	B3 Transcription Factor gene 135	glyma.Wm82.gnm2.ann1.Glyma.20G035700
B3-136, LEC2a	B3 Transcription Factor gene 136	glyma.Wm82.gnm2.ann1.Glyma.20G035800
B3-137	B3 Transcription Factor gene 137	glyma.Wm82.gnm2.ann1.Glyma.20G107900
B3-138	B3 Transcription Factor gene 138	glyma.Wm82.gnm2.ann1.Glyma.20G108000
B3-139	B3 Transcription Factor gene 139	glyma.Wm82.gnm2.ann1.Glyma.20G108100
B3-140	B3 Transcription Factor gene 140	glyma.Wm82.gnm2.ann1.Glyma.20G108200
B3-141	B3 Transcription Factor gene 141	glyma.Wm82.gnm2.ann1.Glyma.20G108300
B3-142	B3 Transcription Factor gene 142	glyma.Wm82.gnm2.ann1.Glyma.20G108400
B3-144	B3 Transcription Factor gene 144	glyma.Wm82.gnm2.ann1.Glyma.20G186200
B3-145	B3 Transcription Factor gene 145	glyma.Wm82.gnm2.ann1.Glyma.20G247300
B3-15	B3 Transcription Factor gene 15	glyma.Wm82.gnm2.ann1.Glyma.03G199000
B3-16	B3 Transcription Factor gene 16	glyma.Wm82.gnm2.ann1.Glyma.03G208800
B3-17	B3 Transcription Factor gene 17	glyma.Wm82.gnm2.ann1.Glyma.03G246400
B3-18, ARF06	B3 Transcription Factor gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G258300
B3-19	B3 Transcription Factor gene 19	glyma.Wm82.gnm2.ann1.Glyma.03G262200
B3-20	B3 Transcription Factor gene 20	glyma.Wm82.gnm2.ann1.Glyma.04G037800
B3-21	B3 Transcription Factor gene 21	glyma.Wm82.gnm2.ann1.Glyma.04G037900
B3-22	B3 Transcription Factor gene 22	glyma.Wm82.gnm2.ann1.Glyma.04G133200
B3-23, E1LB	B3 Transcription Factor gene 23	glyma.Wm82.gnm2.ann1.Glyma.04G143300
B3-25	B3 Transcription Factor gene 25	glyma.Wm82.gnm2.ann1.Glyma.04G192400
B3-28	B3 Transcription Factor gene 28	glyma.Wm82.gnm2.ann1.Glyma.04G257000
B3-29, ARF09	B3 Transcription Factor gene 29	glyma.Wm82.gnm2.ann1.Glyma.05G143800
B3-32	B3 Transcription Factor gene 32	glyma.Wm82.gnm2.ann1.Glyma.06G038900
B3-35	B3 Transcription Factor gene 35	glyma.Wm82.gnm2.ann1.Glyma.06G213700
B3-36	B3 Transcription Factor gene 36	glyma.Wm82.gnm2.ann1.Glyma.06G220000
B3-37	B3 Transcription Factor gene 37	glyma.Wm82.gnm2.ann1.Glyma.06G223000
B3-38	B3 Transcription Factor gene 38	glyma.Wm82.gnm2.ann1.Glyma.06G228300
B3-39	B3 Transcription Factor gene 39	glyma.Wm82.gnm2.ann1.Glyma.07G048200
B3-41, ARF14	B3 Transcription Factor gene 41	glyma.Wm82.gnm2.ann1.Glyma.07G130400
B3-43	B3 Transcription Factor gene 43	glyma.Wm82.gnm2.ann1.Glyma.07G157300
B3-44	B3 Transcription Factor gene 44	glyma.Wm82.gnm2.ann1.Glyma.07G163700
B3-46	B3 Transcription Factor gene 46	glyma.Wm82.gnm2.ann1.Glyma.07G224100
B3-49	B3 Transcription Factor gene 49	glyma.Wm82.gnm2.ann1.Glyma.08G027800
B3-51	B3 Transcription Factor gene 51	glyma.Wm82.gnm2.ann1.Glyma.08G327600
B3-52	B3 Transcription Factor gene 52	glyma.Wm82.gnm2.ann1.Glyma.08G327800
B3-53	B3 Transcription Factor gene 53	glyma.Wm82.gnm2.ann1.Glyma.08G339100
B3-54	B3 Transcription Factor gene 54	glyma.Wm82.gnm2.ann1.Glyma.08G339200
B3-55	B3 Transcription Factor gene 55	glyma.Wm82.gnm2.ann1.Glyma.08G357600
B3-57	B3 Transcription Factor gene 57	glyma.Wm82.gnm2.ann1.Glyma.09G114900
B3-58	B3 Transcription Factor gene 58	glyma.Wm82.gnm2.ann1.Glyma.09G117200
B3-59	B3 Transcription Factor gene 59	glyma.Wm82.gnm2.ann1.Glyma.09G117500
B3-60	B3 Transcription Factor gene 60	glyma.Wm82.gnm2.ann1.Glyma.09G194300
B3-63	B3 Transcription Factor gene 63	glyma.Wm82.gnm2.ann1.Glyma.10G103500
B3-64, RAV	B3 Transcription Factor gene 64	glyma.Wm82.gnm2.ann1.Glyma.10G204400
B3-65	B3 Transcription Factor gene 65	glyma.Wm82.gnm2.ann1.Glyma.10G210600
B3-66	B3 Transcription Factor gene 66	glyma.Wm82.gnm2.ann1.Glyma.10G260300
B3-67	B3 Transcription Factor gene 67	glyma.Wm82.gnm2.ann1.Glyma.10G281100
B3-68	B3 Transcription Factor gene 68	glyma.Wm82.gnm2.ann1.Glyma.10G281200
B3-69	B3 Transcription Factor gene 69	glyma.Wm82.gnm2.ann1.Glyma.10G281300
B3-70	B3 Transcription Factor gene 70	glyma.Wm82.gnm2.ann1.Glyma.11G124000
B3-71	B3 Transcription Factor gene 71	glyma.Wm82.gnm2.ann1.Glyma.11G124100
B3-72	B3 Transcription Factor gene 72	glyma.Wm82.gnm2.ann1.Glyma.11G124200
B3-73	B3 Transcription Factor gene 73	glyma.Wm82.gnm2.ann1.Glyma.11G124300
B3-74	B3 Transcription Factor gene 74	glyma.Wm82.gnm2.ann1.Glyma.11G125200
B3-76	B3 Transcription Factor gene 76	glyma.Wm82.gnm2.ann1.Glyma.11G197900
B3-77	B3 Transcription Factor gene 77	glyma.Wm82.gnm2.ann1.Glyma.11G198800
B3-78, ARF24	B3 Transcription Factor gene 78	glyma.Wm82.gnm2.ann1.Glyma.11G204200
B3-79	B3 Transcription Factor gene 79	glyma.Wm82.gnm2.ann1.Glyma.12G048500
B3-80	B3 Transcription Factor gene 80	glyma.Wm82.gnm2.ann1.Glyma.12G048600
B3-81	B3 Transcription Factor gene 81	glyma.Wm82.gnm2.ann1.Glyma.12G048700
B3-82	B3 Transcription Factor gene 82	glyma.Wm82.gnm2.ann1.Glyma.12G049900
B3-83, ARF25	B3 Transcription Factor gene 83	glyma.Wm82.gnm2.ann1.Glyma.12G071000
B3-84, ARF26	B3 Transcription Factor gene 84	glyma.Wm82.gnm2.ann1.Glyma.12G076200
B3-85	B3 Transcription Factor gene 85	glyma.Wm82.gnm2.ann1.Glyma.12G119700
B3-86, ARF27	B3 Transcription Factor gene 86	glyma.Wm82.gnm2.ann1.Glyma.12G164100
B3-87, ARF28	B3 Transcription Factor gene 87	glyma.Wm82.gnm2.ann1.Glyma.12G171000
B3-89	B3 Transcription Factor gene 89	glyma.Wm82.gnm2.ann1.Glyma.13G058500
B3-90, ARF30	B3 Transcription Factor gene 90	glyma.Wm82.gnm2.ann1.Glyma.13G084700
B3-91, ARF31	B3 Transcription Factor gene 91	glyma.Wm82.gnm2.ann1.Glyma.13G112600
B3-92	B3 Transcription Factor gene 92	glyma.Wm82.gnm2.ann1.Glyma.13G140600
B3-93, ARF32	B3 Transcription Factor gene 93	glyma.Wm82.gnm2.ann1.Glyma.13G174000
B3-94, ARF33	B3 Transcription Factor gene 94	glyma.Wm82.gnm2.ann1.Glyma.13G221400
B3-95, ARF34	B3 Transcription Factor gene 95	glyma.Wm82.gnm2.ann1.Glyma.13G234200
B3-96	B3 Transcription Factor gene 96	glyma.Wm82.gnm2.ann1.Glyma.13G245900
BAG6A	BAG family molecular chaperone regulator 6 gene A	glyma.Wm82.gnm2.ann1.Glyma.07G061500
BBI	Bowman-Birk proteinase inhibitor gene	glyma.Wm82.gnm2.ann1.Glyma.09G158900
BBI-1	putative Bowman-Birk type protease inhibitor gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G231500
BBI-2	Bowman-Birk type proteinase inhibitor gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G231400
BBI-CII	Bowman-Birk type proteinase inhibitor C-II gene	glyma.Wm82.gnm2.ann1.Glyma.09G158800
BCAT	Branched-chain amino acid aminotransferase gene	glyma.Wm82.gnm2.ann1.Glyma.06G050100
BCCP2	Biotin carboxyl carrier protein 2 gene	glyma.Wm82.gnm2.ann1.Glyma.19G028800
BCH2	beta-carotene hydroxylase gene 2	glyma.Wm82.gnm2.ann1.Glyma.16G179100
BCH3	beta-carotene hydroxylase gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G231200
BCH4	beta-carotene hydroxylase gene 4	glyma.Wm82.gnm2.ann1.Glyma.20G162600
BCH5	beta-carotene hydroxylase gene 5	glyma.Wm82.gnm2.ann1.Glyma.09G132200
BEHL1, BES1-5	BES1/BZR1 family protein like gene	glyma.Wm82.gnm2.ann1.Glyma.01G178000
BEN1	Brassinosteriod Insensitive 1 Enhanced 1 gene	glyma.Wm82.gnm2.ann1.Glyma.09G269600
BES1-1	BRI1-EMS-SUPPRESSOR 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.17G248900
BES1-10	BRI1-EMS-SUPPRESSOR 1 gene 10	glyma.Wm82.gnm2.ann1.Glyma.12G231400
BES1-11	BRI1-EMS-Suppressor 1 like gene 11	glyma.Wm82.gnm2.ann1.Glyma.13G266500
BES1-12	BRI1-EMS-SUPPRESSOR 1 gene 12	glyma.Wm82.gnm2.ann1.Glyma.12G231500
BES1-13	BES1-like gene 13	glyma.Wm82.gnm2.ann1.Glyma.09G217000
BES1-14	BES1-like gene 14	glyma.Wm82.gnm2.ann1.Glyma.01G151800
BES1-15	BES1-like gene 15	glyma.Wm82.gnm2.ann1.Glyma.09G260100
BES1-16	BES1-like gene 16	glyma.Wm82.gnm2.ann1.Glyma.18G232400
BES1-4	BRASSINAZOLE-RESISTANT 1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.04G033800
BES1-6	BRI1-EMS-SUPPRESSOR 1 gene 6	glyma.Wm82.gnm2.ann1.Glyma.11G064300
BES1-7	BRI1-EMS-SUPPRESSOR 1 gene 7	glyma.Wm82.gnm2.ann1.Glyma.07G099100
BES1-8	BRI1-EMS-SUPPRESSOR 1 gene 8	glyma.Wm82.gnm2.ann1.Glyma.14G127400
BES1-9	BRI1-EMS-SUPPRESSOR 1 gene 9	glyma.Wm82.gnm2.ann1.Glyma.13G266600
BFA3	chloroplast stromal protein BFA3 gene	glyma.Wm82.gnm2.ann1.Glyma.12G038800
BFT	phosphatidylethanolamine-binding protein BFT gene	glyma.Wm82.gnm2.ann1.Glyma.16G196300
BG7S-1	basic 7S globulin gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G239700
BG7S-2	basic 7S globulin gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G236600
BHLH30	Basic helix-loop-helix transcription factor 30 gene	glyma.Wm82.gnm2.ann1.Glyma.02G100700
BHLH300	bHLH transcription factor bHLH300 gene	glyma.Wm82.gnm2.ann1.Glyma.03G130600
BHLH320	bHLH transcription factor bHLH320 gene	glyma.Wm82.gnm2.ann1.Glyma.03G130400
BHLH322	bHLH transcription factor bHLH322 gene	glyma.Wm82.gnm2.ann1.Glyma.19G132600
BHLH56	basic helix-loop-helix transcription factor gene 56	glyma.Wm82.gnm2.ann1.Glyma.13G322100
BHLH57	bHLH transcription factor gene 57	glyma.Wm82.gnm2.ann1.Glyma.12G178500
BHLH59	basic helix-loop-helix transcription factor bHLH59 gene	glyma.Wm82.gnm2.ann1.Glyma.11G192800
BIK1-2	BOTRYTIS INDUCED KINASE1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G247600
BIK1-6	BOTRYTIS INDUCED KINASE1 gene 6	glyma.Wm82.gnm2.ann1.Glyma.14G068700
BIN2	putative BR-insensitive 2 gene	glyma.Wm82.gnm2.ann1.Glyma.13G228100
BIP2, MED37-7	ER-binding immunoglobulin protein BIP2 gene	glyma.Wm82.gnm2.ann1.Glyma.08G025900
BMY1, BMY1-2	beta-amylase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.15G098100
BMY1-1	Beta-amylase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G301500
BMY1-3	Beta-amylase 1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.08G025500
BMY2	Beta-amylase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.17G150100
BMY3-1	Beta-amylase 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G068000
BMY3-2	Beta-amylase 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G203400
BMY3-3	Beta-amylase 3 gene 3	glyma.Wm82.gnm2.ann1.Glyma.11G039400
BMY9	Beta-amylase 9 gene	glyma.Wm82.gnm2.ann1.Glyma.13G215000
BOR2	boron transporter BOR2 gene	glyma.Wm82.gnm2.ann1.Glyma.06G181900
BRC1, TCP48	BRANCHED1 gene	glyma.Wm82.gnm2.ann1.Glyma.06G210600
BRI1A	brassinosteroid receptor 1 gene A	glyma.Wm82.gnm2.ann1.Glyma.06G147600
BRI1B	brassinosteroid receptor 1 gene B	glyma.Wm82.gnm2.ann1.Glyma.04G218300
BRL1A	brassinosteroid receptor-like protein 1 gene A	glyma.Wm82.gnm2.ann1.Glyma.04G115700
BRL1B	brassinosteroid receptor-like protein 1 gene B	glyma.Wm82.gnm2.ann1.Glyma.06G320600
BRL2A	brassinosteroid receptor-like protein 2 gene A	glyma.Wm82.gnm2.ann1.Glyma.05G136900
BRL2B	brassinosteroid receptor-like protein 2gene B	glyma.Wm82.gnm2.ann1.Glyma.08G092200
BRU1	xyloglucan endotransglucosylase/hydrolase 1	glyma.Wm82.gnm2.ann1.Glyma.08G107300
BSAS	beta-substituted alanine synthase	glyma.Wm82.gnm2.ann1.Glyma.19G119100
BTB001	BTB gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G192300
BTB002	BTB gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G193300
BTB003	BTB gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G193900
BTB004	BTB gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G239200
BTB005	BTB gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G061400
BTB006	BTB gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G144600
BTB007	BTB gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G149600
BTB008	BTB gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G153500
BTB009	BTB gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G188700
BTB010	BTB gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G203400
BTB011	BTB gene 11	glyma.Wm82.gnm2.ann1.Glyma.02G237100
BTB012	BTB gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G272800
BTB013	BTB gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G283300
BTB014	BTB gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G306600
BTB015	BTB gene 15	glyma.Wm82.gnm2.ann1.Glyma.03G080600
BTB016	BTB gene 16	glyma.Wm82.gnm2.ann1.Glyma.03G128600
BTB017	BTB gene 17	glyma.Wm82.gnm2.ann1.Glyma.03G150800
BTB018	BTB gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G154000
BTB019	BTB gene 19	glyma.Wm82.gnm2.ann1.Glyma.03G210700
BTB020	BTB gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G254800
BTB021	BTB gene 21	glyma.Wm82.gnm2.ann1.Glyma.04G060800
BTB022	BTB gene 22	glyma.Wm82.gnm2.ann1.Glyma.04G190900
BTB023	BTB gene 23	glyma.Wm82.gnm2.ann1.Glyma.04G244900
BTB024	BTB gene 24	glyma.Wm82.gnm2.ann1.Glyma.04G247400
BTB025	BTB gene 25	glyma.Wm82.gnm2.ann1.Glyma.05G043900
BTB026	BTB gene 26	glyma.Wm82.gnm2.ann1.Glyma.05G089400
BTB027	BTB gene 27	glyma.Wm82.gnm2.ann1.Glyma.05G104000
BTB028	BTB gene 28	glyma.Wm82.gnm2.ann1.Glyma.05G104900
BTB029	BTB gene 29	glyma.Wm82.gnm2.ann1.Glyma.05G105000
BTB030	BTB gene 30	glyma.Wm82.gnm2.ann1.Glyma.05G178500
BTB031	BTB gene 31	glyma.Wm82.gnm2.ann1.Glyma.05G209000
BTB032	BTB gene 32	glyma.Wm82.gnm2.ann1.Glyma.05G210100
BTB033	BTB gene 33	glyma.Wm82.gnm2.ann1.Glyma.06G061400
BTB034	BTB gene 34	glyma.Wm82.gnm2.ann1.Glyma.06G115300
BTB035	BTB gene 35	glyma.Wm82.gnm2.ann1.Glyma.06G118200
BTB036	BTB gene 36	glyma.Wm82.gnm2.ann1.Glyma.06G302100
BTB037	BTB gene 37	glyma.Wm82.gnm2.ann1.Glyma.07G061000
BTB038	BTB gene 38	glyma.Wm82.gnm2.ann1.Glyma.07G180900
BTB039	BTB gene 39	glyma.Wm82.gnm2.ann1.Glyma.07G247100
BTB040	BTB gene 40	glyma.Wm82.gnm2.ann1.Glyma.08G015700
BTB041	BTB gene 41	glyma.Wm82.gnm2.ann1.Glyma.08G016800
BTB042	BTB gene 42	glyma.Wm82.gnm2.ann1.Glyma.08G069800
BTB043	BTB gene 43	glyma.Wm82.gnm2.ann1.Glyma.08G119100
BTB044	BTB gene 44	glyma.Wm82.gnm2.ann1.Glyma.08G135600
BTB045	BTB gene 45	glyma.Wm82.gnm2.ann1.Glyma.08G171633
BTB046	BTB gene 46	glyma.Wm82.gnm2.ann1.Glyma.08G337900
BTB048	BTB gene 48	glyma.Wm82.gnm2.ann1.Glyma.09G085200
BTB049	BTB gene 49	glyma.Wm82.gnm2.ann1.Glyma.09G272500
BTB050	BTB gene 50	glyma.Wm82.gnm2.ann1.Glyma.10G020800
BTB051	BTB gene 51	glyma.Wm82.gnm2.ann1.Glyma.10G024300
BTB052	BTB gene 52	glyma.Wm82.gnm2.ann1.Glyma.10G029500
BTB053	BTB gene 53	glyma.Wm82.gnm2.ann1.Glyma.10G053700
BTB054	BTB gene 54	glyma.Wm82.gnm2.ann1.Glyma.10G155600
BTB055	BTB gene 55	glyma.Wm82.gnm2.ann1.Glyma.10G210200
BTB056	BTB gene 56	glyma.Wm82.gnm2.ann1.Glyma.10G250100
BTB057	BTB gene 57	glyma.Wm82.gnm2.ann1.Glyma.10G258000
BTB058	BTB gene 58	glyma.Wm82.gnm2.ann1.Glyma.11G004300
BTB059	BTB gene 59	glyma.Wm82.gnm2.ann1.Glyma.11G019400
BTB060	BTB gene 60	glyma.Wm82.gnm2.ann1.Glyma.11G048000
BTB061	BTB gene 61	glyma.Wm82.gnm2.ann1.Glyma.11G049800
BTB062	BTB gene 62	glyma.Wm82.gnm2.ann1.Glyma.11G061200
BTB063	BTB gene 63	glyma.Wm82.gnm2.ann1.Glyma.11G167200
BTB064	BTB gene 64	glyma.Wm82.gnm2.ann1.Glyma.11G200201
BTB065	BTB gene 65	glyma.Wm82.gnm2.ann1.Glyma.11G222900
BTB066	BTB gene 66	glyma.Wm82.gnm2.ann1.Glyma.11G234900
BTB067	BTB gene 67	glyma.Wm82.gnm2.ann1.Glyma.12G102300
BTB068	BTB gene 68	glyma.Wm82.gnm2.ann1.Glyma.13G078000
BTB069	BTB gene 69	glyma.Wm82.gnm2.ann1.Glyma.13G140800
BTB070	BTB gene 70	glyma.Wm82.gnm2.ann1.Glyma.13G221200
BTB071	BTB gene 71	glyma.Wm82.gnm2.ann1.Glyma.13G258700
BTB072	BTB gene 72	glyma.Wm82.gnm2.ann1.Glyma.13G320400
BTB073	BTB gene 73	glyma.Wm82.gnm2.ann1.Glyma.13G368300
BTB074	BTB gene 74	glyma.Wm82.gnm2.ann1.Glyma.14G006500
BTB075, ANK154	BTB gene 75	glyma.Wm82.gnm2.ann1.Glyma.14G031300
BTB076	BTB gene 76	glyma.Wm82.gnm2.ann1.Glyma.14G045500
BTB077	BTB gene 77	glyma.Wm82.gnm2.ann1.Glyma.14G102500
BTB078	BTB gene 78	glyma.Wm82.gnm2.ann1.Glyma.14G151300
BTB079	BTB gene 79	glyma.Wm82.gnm2.ann1.Glyma.14G206100
BTB080	BTB gene 80	glyma.Wm82.gnm2.ann1.Glyma.14G223400
BTB081	BTB gene 81	glyma.Wm82.gnm2.ann1.Glyma.15G056500
BTB082	BTB gene 82	glyma.Wm82.gnm2.ann1.Glyma.15G121700
BTB083, ANK170, NPR1.2.15	BTB gene 83	glyma.Wm82.gnm2.ann1.Glyma.15G127200
BTB084	BTB gene 84	glyma.Wm82.gnm2.ann1.Glyma.15G193300
BTB085	BTB gene 85	glyma.Wm82.gnm2.ann1.Glyma.15G255000
BTB086	BTB gene 86	glyma.Wm82.gnm2.ann1.Glyma.16G029600
BTB087	BTB gene 87	glyma.Wm82.gnm2.ann1.Glyma.16G036400
BTB088	BTB gene 88	glyma.Wm82.gnm2.ann1.Glyma.16G036700
BTB089	BTB gene 89	glyma.Wm82.gnm2.ann1.Glyma.16G143800
BTB090	BTB gene 90	glyma.Wm82.gnm2.ann1.Glyma.17G026900
BTB091	BTB gene 91	glyma.Wm82.gnm2.ann1.Glyma.17G074300
BTB092	BTB gene 92	glyma.Wm82.gnm2.ann1.Glyma.17G126400
BTB093	BTB gene 93	glyma.Wm82.gnm2.ann1.Glyma.17G161200
BTB094	BTB gene 94	glyma.Wm82.gnm2.ann1.Glyma.17G161500
BTB095	BTB gene 95	glyma.Wm82.gnm2.ann1.Glyma.17G161600
BTB096	BTB gene 96	glyma.Wm82.gnm2.ann1.Glyma.17G163500
BTB097	BTB gene 97	glyma.Wm82.gnm2.ann1.Glyma.17G223000
BTB098	BTB gene 98	glyma.Wm82.gnm2.ann1.Glyma.18G022100
BTB099	BTB gene 99	glyma.Wm82.gnm2.ann1.Glyma.18G034700
BTB100	BTB gene 100	glyma.Wm82.gnm2.ann1.Glyma.18G050800
BTB101	BTB gene 101	glyma.Wm82.gnm2.ann1.Glyma.18G059700
BTB102	BTB gene 102	glyma.Wm82.gnm2.ann1.Glyma.18G072800
BTB103	BTB gene 103	glyma.Wm82.gnm2.ann1.Glyma.18G154700
BTB104	BTB gene 104	glyma.Wm82.gnm2.ann1.Glyma.18G216600
BTB105	BTB gene 105	glyma.Wm82.gnm2.ann1.Glyma.19G058000
BTB106	BTB gene 106	glyma.Wm82.gnm2.ann1.Glyma.19G058200
BTB107	BTB gene 107	glyma.Wm82.gnm2.ann1.Glyma.19G058700
BTB108	BTB gene 108	glyma.Wm82.gnm2.ann1.Glyma.19G059300
BTB109	BTB gene 109	glyma.Wm82.gnm2.ann1.Glyma.19G059800
BTB110	BTB gene 110	glyma.Wm82.gnm2.ann1.Glyma.19G116300
BTB111	BTB gene 111	glyma.Wm82.gnm2.ann1.Glyma.19G153400
BTB112	BTB gene 112	glyma.Wm82.gnm2.ann1.Glyma.19G156400
BTB113	BTB gene 113	glyma.Wm82.gnm2.ann1.Glyma.19G207900
BTB114	BTB gene 114	glyma.Wm82.gnm2.ann1.Glyma.19G252500
BTB115, ANK217	BTB gene 115	glyma.Wm82.gnm2.ann1.Glyma.20G057100
BTB116	BTB gene 116	glyma.Wm82.gnm2.ann1.Glyma.20G133100
BTB117	BTB gene 117	glyma.Wm82.gnm2.ann1.Glyma.20G143500
BTB118	BTB gene 118	glyma.Wm82.gnm2.ann1.Glyma.20G180400
BTB119	BTB gene 119	glyma.Wm82.gnm2.ann1.Glyma.20G232700
BTB120	BTB gene 120	glyma.Wm82.gnm2.ann1.Glyma.U043900
BTB121	BTB gene 121	glyma.Wm82.gnm2.ann1.Glyma.U043950
BTB122	BTB gene 122	glyma.Wm82.gnm2.ann1.Glyma.U044000
BURP2	BURP domain protein 2 gene	glyma.Wm82.gnm2.ann1.Glyma.14G140900
BZIP130, bZIP134	putative Basic leucine zipper transcription factor-like protein gene 130	glyma.Wm82.gnm2.ann1.Glyma.16G168400
BZIP16	bZIP transcription factor gene 16	glyma.Wm82.gnm2.ann1.Glyma.14G139700
BZL2, BES1-3	protein BRASSINAZOLE-RESISTANT 1-like protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.14G076900
BZL3, BES1, BES1-2	protein BRASSINAZOLE-RESISTANT 1-like protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G034000
Bic-C1, RHA	Bicaudal- C gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G113000
Bic-C2	Bicaudal- C gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G064800
C/VIF1, PMEI141	pectinesterase inhibitor gene	glyma.Wm82.gnm2.ann1.Glyma.17G036400
C2-1	C2-domain containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G162100
C2-10	C2-domain containing protein gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G220300
C2-100	C2-domain containing protein gene 100	glyma.Wm82.gnm2.ann1.Glyma.10G092200
C2-101	C2-domain containing protein gene 101	glyma.Wm82.gnm2.ann1.Glyma.10G130100
C2-102	C2-domain containing protein gene 102	glyma.Wm82.gnm2.ann1.Glyma.10G130800
C2-103	C2-domain containing protein gene 103	glyma.Wm82.gnm2.ann1.Glyma.10G165300
C2-104	C2-domain containing protein gene 104	glyma.Wm82.gnm2.ann1.Glyma.10G210000
C2-105	C2-domain containing protein gene 105	glyma.Wm82.gnm2.ann1.Glyma.11G000700
C2-106	C2-domain containing protein gene 106	glyma.Wm82.gnm2.ann1.Glyma.11G024300
C2-107	C2-domain containing protein gene 107	glyma.Wm82.gnm2.ann1.Glyma.11G040600
C2-108	C2-domain containing protein gene 108	glyma.Wm82.gnm2.ann1.Glyma.11G081500
C2-109	C2-domain containing protein gene 109	glyma.Wm82.gnm2.ann1.Glyma.11G103300
C2-11	C2-domain containing protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.02G226800
C2-110	C2-domain containing protein gene 110	glyma.Wm82.gnm2.ann1.Glyma.11G107300
C2-111	C2-domain containing protein gene 111	glyma.Wm82.gnm2.ann1.Glyma.11G130400
C2-112	C2-domain containing protein gene 112	glyma.Wm82.gnm2.ann1.Glyma.11G154100
C2-113	C2-domain containing protein gene 113	glyma.Wm82.gnm2.ann1.Glyma.11G216900
C2-114	C2-domain containing protein gene 114	glyma.Wm82.gnm2.ann1.Glyma.11G219000
C2-115	C2-domain containing protein gene 115	glyma.Wm82.gnm2.ann1.Glyma.11G227500
C2-116	C2-domain containing protein gene 116	glyma.Wm82.gnm2.ann1.Glyma.11G229900
C2-117	C2-domain containing protein gene 117	glyma.Wm82.gnm2.ann1.Glyma.11G230000
C2-118	C2-domain containing protein gene 118	glyma.Wm82.gnm2.ann1.Glyma.11G230100
C2-119	C2-domain containing protein gene 119	glyma.Wm82.gnm2.ann1.Glyma.11G239900
C2-12	C2-domain containing protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G247900
C2-120	C2-domain containing protein gene 120	glyma.Wm82.gnm2.ann1.Glyma.12G001500
C2-121	C2-domain containing protein gene 121	glyma.Wm82.gnm2.ann1.Glyma.12G028200
C2-122	C2-domain containing protein gene 122	glyma.Wm82.gnm2.ann1.Glyma.12G032400
C2-123	C2-domain containing protein gene 123	glyma.Wm82.gnm2.ann1.Glyma.12G239600
C2-124	C2-domain containing protein gene 124	glyma.Wm82.gnm2.ann1.Glyma.13G003100
C2-125	C2-domain containing protein gene 125	glyma.Wm82.gnm2.ann1.Glyma.13G003800
C2-126	C2-domain containing protein gene 126	glyma.Wm82.gnm2.ann1.Glyma.13G198600
C2-127	C2-domain containing protein gene 127	glyma.Wm82.gnm2.ann1.Glyma.13G261200
